batch_id,label_number,order_id,sku,product,quantity,payment_type,service_type,carrier,packaging_instruction,seller,printed_at,awb,fit,color,size,sort_tag,is_mix,zpl_file,preview_file
20260804-095417-556956,1,OD338258783047124400,F-28-ICE-BAGGY-PLAIN-IBP-909598987878,INDIVANE Relaxed Fit Men Light Blue Jeans,1,COD,STD,E-Kart Logistics,,SEEMA ENTERPRISES,"0954 hrs, 04/08/26",FMPC6361376111,BAGGY,ICE,28,ICE-BAGGY-28,False,C:\Users\ESHAAN\HAKUR\work--fk-tools\order-grouper\print-jobs\labels\20260804-095417-556956\001-OD338258783047124400.zpl,
20260804-095417-556956,2,OD338258419642155400,F-28-ICE-BAGGY-PLAIN-IBP-909598987878,INDIVANE Relaxed Fit Men Light Blue Jeans,1,COD,STD,E-Kart Logistics,,SEEMA ENTERPRISES,"0954 hrs, 04/08/26",FMPC6361423178,BAGGY,ICE,28,ICE-BAGGY-28,False,C:\Users\ESHAAN\HAKUR\work--fk-tools\order-grouper\print-jobs\labels\20260804-095417-556956\002-OD338258419642155400.zpl,
20260804-095417-556956,3,OD338258600240643400,F-28-ICE-BAGGY-PLAIN-IBP-909598987878,INDIVANE Relaxed Fit Men Light Blue Jeans,1,COD,STD,E-Kart Logistics,,SEEMA ENTERPRISES,"0954 hrs, 04/08/26",FMPC6361539507,BAGGY,ICE,28,ICE-BAGGY-28,False,C:\Users\ESHAAN\HAKUR\work--fk-tools\order-grouper\print-jobs\labels\20260804-095417-556956\003-OD338258600240643400.zpl,
20260804-095417-556956,4,OD438266683337202400,F-28-ICE-BAGGY-PLAIN-IBP-909598987878,INDIVANE Relaxed Fit Men Light Blue Jeans,1,COD,STD,E-Kart Logistics,,SEEMA ENTERPRISES,"0954 hrs, 04/08/26",FMPC6362748579,BAGGY,ICE,28,ICE-BAGGY-28,False,C:\Users\ESHAAN\HAKUR\work--fk-tools\order-grouper\print-jobs\labels\20260804-095417-556956\004-OD438266683337202400.zpl,
20260804-095417-556956,5,OD438263998740429100,FB-32-WHITE-Baggy-Plain-Jeans-BEPJ-VO3X1EF,FADEVIELLE Relaxed Fit Men White Jeans 32,1,COD,STD,E-Kart Logistics,Use Transparent Packaging,SEEMA ENTERPRISES,"0954 hrs, 04/08/26",FMPC6361435820,BAGGY,WHITE,32,WHITE-BAGGY-32,False,C:\Users\ESHAAN\HAKUR\work--fk-tools\order-grouper\print-jobs\labels\20260804-095417-556956\005-OD438263998740429100.zpl,
20260804-095417-556956,6,OD438259068035670100,FB-32-WHITE-Baggy-Plain-Jeans-BEPJ-VO3X1EF,FADEVIELLE Relaxed Fit Men White Jeans 32,1,COD,STD,E-Kart Logistics,Use Transparent Packaging,SEEMA ENTERPRISES,"0954 hrs, 04/08/26",FMPC6361591092,BAGGY,WHITE,32,WHITE-BAGGY-32,False,C:\Users\ESHAAN\HAKUR\work--fk-tools\order-grouper\print-jobs\labels\20260804-095417-556956\006-OD438259068035670100.zpl,
20260804-095417-556956,7,OD438266469800341100,FB-32-WHITE-Baggy-Plain-Jeans-BEPJ-VO3X1EF,FADEVIELLE Relaxed Fit Men White Jeans 32,1,COD,STD,E-Kart Logistics,Use Transparent Packaging,SEEMA ENTERPRISES,"0954 hrs, 04/08/26",FMPC6362692700,BAGGY,WHITE,32,WHITE-BAGGY-32,False,C:\Users\ESHAAN\HAKUR\work--fk-tools\order-grouper\print-jobs\labels\20260804-095417-556956\007-OD438266469800341100.zpl,
20260804-095417-556956,8,OD438258939627429100,FB-30-WHITE-Baggy-Plain-Jeans-BEPJ-CEUSFX8,FADEVIELLE Relaxed Fit Men White Jeans 30,1,COD,STD,E-Kart Logistics,Use Transparent Packaging,SEEMA ENTERPRISES,"0954 hrs, 04/08/26",FMPC6361428619,BAGGY,WHITE,30,WHITE-BAGGY-30,False,C:\Users\ESHAAN\HAKUR\work--fk-tools\order-grouper\print-jobs\labels\20260804-095417-556956\008-OD438258939627429100.zpl,
20260804-095417-556956,9,OD438258639393276100,FB-30-WHITE-Baggy-Plain-Jeans-BEPJ-CEUSFX8,FADEVIELLE Relaxed Fit Men White Jeans 30,1,COD,STD,E-Kart Logistics,Use Transparent Packaging,SEEMA ENTERPRISES,"0954 hrs, 04/08/26",FMPC6361690239,BAGGY,WHITE,30,WHITE-BAGGY-30,False,C:\Users\ESHAAN\HAKUR\work--fk-tools\order-grouper\print-jobs\labels\20260804-095417-556956\009-OD438258639393276100.zpl,
20260804-095417-556956,10,OD438259673793153100,FB-30-WHITE-Baggy-Plain-Jeans-BEPJ-CEUSFX8,FADEVIELLE Relaxed Fit Men White Jeans 30,1,COD,STD,E-Kart Logistics,Use Transparent Packaging,SEEMA ENTERPRISES,"0954 hrs, 04/08/26",FMPC6361696637,BAGGY,WHITE,30,WHITE-BAGGY-30,False,C:\Users\ESHAAN\HAKUR\work--fk-tools\order-grouper\print-jobs\labels\20260804-095417-556956\010-OD438259673793153100.zpl,
