batch_id,label_number,order_id,sku,product,quantity,payment_type,service_type,carrier,packaging_instruction,seller,printed_at,awb,fit,color,size,sort_tag,is_mix,zpl_file,preview_file
20260820-070438-043285,1,OD338398569665884100,F-28-BEIGE-BAGGY-JEANS-BEBJ-1231257,INDIVANE Relaxed Fit Men Beige Jeans 28,1,COD,STD,E-Kart Logistics,Use Transparent Packaging,SEEMA ENTERPRISES,"0704 hrs, 20/08/26",FMPC6417268532,BAGGY,BEIGE,28,BEIGE-BAGGY-28,False,C:\Users\ESHAAN\HAKUR\work--fk-tools\order-grouper\print-jobs\labels\20260820-070438-043285\001-OD338398569665884100.zpl,
20260820-070438-043285,2,OD338350760811629100,F-28-BEIGE-BAGGY-JEANS-BEBJ-1231258,INDIVANE Relaxed Fit Men Beige Jeans 28,1,,STD,E-Kart Logistics,,SEEMA ENTERPRISES,"0704 hrs, 20/08/26",FMPP4226887384,BAGGY,BEIGE,28,BEIGE-BAGGY-28,False,C:\Users\ESHAAN\HAKUR\work--fk-tools\order-grouper\print-jobs\labels\20260820-070438-043285\002-OD338350760811629100.zpl,
20260820-070438-043285,3,OD338396728321481100,F-28-BEIGE-BAGGY-JEANS-BEBJ-1231336,INDIVANE Relaxed Fit Men Beige Jeans 28,1,COD,STD,E-Kart Logistics,Use Transparent Packaging,SEEMA ENTERPRISES,"0704 hrs, 20/08/26",FMPC6417168828,BAGGY,BEIGE,28,BEIGE-BAGGY-28,False,C:\Users\ESHAAN\HAKUR\work--fk-tools\order-grouper\print-jobs\labels\20260820-070438-043285\003-OD338396728321481100.zpl,
20260820-070438-043285,4,OD338399458005253100,F-28-BEIGE-BAGGY-JEANS-BEBJ-1231354,INDIVANE Relaxed Fit Men Beige Jeans 28,1,COD,STD,E-Kart Logistics,Use Transparent Packaging,SEEMA ENTERPRISES,"0704 hrs, 20/08/26",FMPC6416613201,BAGGY,BEIGE,28,BEIGE-BAGGY-28,False,C:\Users\ESHAAN\HAKUR\work--fk-tools\order-grouper\print-jobs\labels\20260820-070438-043285\004-OD338399458005253100.zpl,
20260820-070438-043285,5,OD438401594598648100,F-28-BEIGE-BAGGY-JEANS-BEBJ-1231354,INDIVANE Relaxed Fit Men Beige Jeans 28,1,,STD,E-Kart Logistics,Use Transparent Packaging,SEEMA ENTERPRISES,"0704 hrs, 20/08/26",FMPP4227378150,BAGGY,BEIGE,28,BEIGE-BAGGY-28,False,C:\Users\ESHAAN\HAKUR\work--fk-tools\order-grouper\print-jobs\labels\20260820-070438-043285\005-OD438401594598648100.zpl,
20260820-070438-043285,6,OD438339703615579100,F-28-BEIGE-BAGGY-JEANS-CS1114,FADEVIELLE Straight Fit Men Beige Jeans 28,1,,STD,E-Kart Logistics,,SEEMA ENTERPRISES,"0704 hrs, 20/08/26",FMPP4226724907,BAGGY,BEIGE,28,BEIGE-BAGGY-28,False,C:\Users\ESHAAN\HAKUR\work--fk-tools\order-grouper\print-jobs\labels\20260820-070438-043285\006-OD438339703615579100.zpl,
20260820-070438-043285,7,OD438398632234269100,F-28-BEIGE-BAGGY-JEANS-CS1114,FADEVIELLE Straight Fit Men Beige Jeans 28,1,COD,STD,E-Kart Logistics,Use Transparent Packaging,SEEMA ENTERPRISES,"0704 hrs, 20/08/26",FMPC6417192465,BAGGY,BEIGE,28,BEIGE-BAGGY-28,False,C:\Users\ESHAAN\HAKUR\work--fk-tools\order-grouper\print-jobs\labels\20260820-070438-043285\007-OD438398632234269100.zpl,
20260820-070438-043285,8,OD438399880704080100,F-28-BEIGE-BAGGY-JEANS-CS1114,FADEVIELLE Straight Fit Men Beige Jeans 28,1,COD,STD,E-Kart Logistics,Use Transparent Packaging,SEEMA ENTERPRISES,"0704 hrs, 20/08/26",FMPC6416592028,BAGGY,BEIGE,28,BEIGE-BAGGY-28,False,C:\Users\ESHAAN\HAKUR\work--fk-tools\order-grouper\print-jobs\labels\20260820-070438-043285\008-OD438399880704080100.zpl,
20260820-070438-043285,9,OD338398262663625100,F-28-BEIGE-BAGGY-JEANS-CS123,FADEVIELLE Straight Fit Men Beige Jeans 28,1,,STD,,,SEEMA ENTERPRISES,"0704 hrs, 20/08/26",5965731488264,BAGGY,BEIGE,28,BEIGE-BAGGY-28,False,C:\Users\ESHAAN\HAKUR\work--fk-tools\order-grouper\print-jobs\labels\20260820-070438-043285\009-OD338398262663625100.zpl,
20260820-070438-043285,10,OD338391625237178400,F-28-ICE-BAGGY-PLAIN-IBP-909598987878,INDIVANE Relaxed Fit Men Light Blue Jeans,1,COD,STD,E-Kart Logistics,,SEEMA ENTERPRISES,"0704 hrs, 20/08/26",FMPC6417725169,BAGGY,ICE,28,ICE-BAGGY-28,False,C:\Users\ESHAAN\HAKUR\work--fk-tools\order-grouper\print-jobs\labels\20260820-070438-043285\010-OD338391625237178400.zpl,
20260820-070438-043285,11,OD438391766690256400,F-28-ICE-BAGGY-PLAIN-IBP-909598987878,INDIVANE Relaxed Fit Men Light Blue Jeans,1,COD,STD,E-Kart Logistics,,SEEMA ENTERPRISES,"0704 hrs, 20/08/26",FMPC6417325122,BAGGY,ICE,28,ICE-BAGGY-28,False,C:\Users\ESHAAN\HAKUR\work--fk-tools\order-grouper\print-jobs\labels\20260820-070438-043285\011-OD438391766690256400.zpl,
20260820-070438-043285,12,OD438391934678988400,F-28-ICE-BAGGY-PLAIN-IBP-909598987878,INDIVANE Relaxed Fit Men Light Blue Jeans,1,COD,STD,E-Kart Logistics,,SEEMA ENTERPRISES,"0704 hrs, 20/08/26",FMPC6417769313,BAGGY,ICE,28,ICE-BAGGY-28,False,C:\Users\ESHAAN\HAKUR\work--fk-tools\order-grouper\print-jobs\labels\20260820-070438-043285\012-OD438391934678988400.zpl,
20260820-070438-043285,13,OD338395824539476400,F-28-ICE-BAGGY-PLAIN-IBP-909598987878,INDIVANE Relaxed Fit Men Light Blue Jeans,1,COD,STD,E-Kart Logistics,,SEEMA ENTERPRISES,"0704 hrs, 20/08/26",FMPC6418987443,BAGGY,ICE,28,ICE-BAGGY-28,False,C:\Users\ESHAAN\HAKUR\work--fk-tools\order-grouper\print-jobs\labels\20260820-070438-043285\013-OD338395824539476400.zpl,
